 Month,Year,Total Medical Marijuana Sales ¹,"Total Retail 
Marijuana Sales ²","Total 
Marijuana Sales"
1,2014,"$32,541,720 ","$14,022,213 ","$46,563,933 "
2,2014,"$31,738,572 ","$14,248,473 ","$45,987,045 "
3,2014,"$34,821,878 ","$19,881,631 ","$54,703,509 "
4,2014,"$32,686,869 ","$20,765,986 ","$53,452,855 "
5,2014,"$31,355,208 ","$21,375,001 ","$52,730,209 "
6,2014,"$29,950,309 ","$23,978,082 ","$53,928,391 "
7,2014,"$31,137,623 ","$29,866,792 ","$61,004,415 "
8,2014,"$33,912,226 ","$33,520,608 ","$67,432,834 "
9,2014,"$32,721,238 ","$30,345,357 ","$63,066,595 "
10,2014,"$31,779,216 ","$31,185,985 ","$62,965,201 "
11,2014,"$28,978,462 ","$29,470,126 ","$58,448,588 "
12,2014,"$28,660,719 ","$34,579,445 ","$63,240,164 "
1,2015,"$30,181,833 ","$37,224,033 ","$67,405,866 "
2,2015,"$29,066,073 ","$35,843,189 ","$64,909,262 "
3,2015,"$32,820,548 ","$42,952,626 ","$75,773,174 "
4,2015,"$32,878,517 ","$43,832,944 ","$76,711,461 "
5,2015,"$33,609,116 ","$44,590,853 ","$78,199,969 "
6,2015,"$34,552,396 ","$46,460,218 ","$81,012,614 "
7,2015,"$40,611,139 ","$55,315,111 ","$95,926,250 "
8,2015,"$40,819,368 ","$57,679,482 ","$98,498,850 "
9,2015,"$39,991,813 ","$53,639,366 ","$93,631,179 "
10,2015,"$36,742,780 ","$54,467,764 ","$91,210,544 "
11,2015,"$30,770,436 ","$49,453,755 ","$80,224,191 "
12,2015,"$36,010,893 ","$56,077,002 ","$92,087,895 "
1,2016,"$32,860,544 ","$55,896,018 ","$88,756,562 "
2,2016,"$34,019,234 ","$57,045,314 ","$91,064,548 "
3,2016,"$38,116,173 ","$65,121,388 ","$103,237,561 "
4,2016,"$38,294,503 ","$63,841,328 ","$102,135,831 "
5,2016,"$37,636,295 ","$63,831,071 ","$101,467,366 "
6,2016,"$38,177,550 ","$67,881,863 ","$106,059,413 "
7,2016,"$40,129,985 ","$81,478,447 ","$121,608,432 "
8,2016,"$41,056,948 ","$84,055,363 ","$125,112,311 "
9,2016,"$39,672,483 ","$86,137,409 ","$125,809,892 "
10,2016,"$35,940,555 ","$80,695,313 ","$116,635,868 "
11,2016,"$34,839,439 ","$74,382,892 ","$109,222,331 "
12,2016,"$34,872,353 ","$81,221,005 ","$116,093,358 "
1,2017,"$31,712,608 ","$76,018,423 ","$107,731,031 "
2,2017,"$31,074,413 ","$75,665,966 ","$106,740,379 "
3,2017,"$37,451,683 ","$92,912,147 ","$130,363,830 "
4,2017,"$38,049,392 ","$86,223,281 ","$124,272,673 "
5,2017,"$36,521,894 ","$87,012,525 ","$123,534,419 "
6,2017,"$36,125,578 ","$92,825,639 ","$128,951,217 "
7,2017,"$35,256,994 ","$101,037,453 ","$136,294,447 "
8,2017,"$36,921,075 ","$101,548,082 ","$138,469,157 "
9,2017,"$35,518,033 ","$100,280,636 ","$135,798,669 "
10,2017,"$34,082,247 ","$93,623,919 ","$127,706,166 "
11,2017,"$31,878,468 ","$87,689,309 ","$119,567,777 "
12,2017,"$31,924,397 ","$96,348,057 ","$128,272,454 "
1,2018,"$29,263,308 ","$88,729,914 ","$117,993,222 "
2,2018,"$26,640,302 ","$85,869,215 ","$112,509,517 "
3,2018,"$29,238,678 ","$105,945,278 ","$135,183,956 "
4,2018,"$27,019,073 ","$97,290,806 ","$124,309,879 "
5,2018,"$26,225,775 ","$96,642,441 ","$122,868,216 "
6,2018,"$27,096,966 ","$102,426,064 ","$129,523,030 "
7,2018,"$27,239,015 ","$111,296,569 ","$138,535,584 "
8,2018,"$28,323,863 ","$112,998,245 ","$141,322,108 "
9,2018,"$27,897,573 ","$107,638,880 ","$135,536,453 "
10,2018,"$27,919,377 ","$101,305,394 ","$129,224,771 "
11,2018,"$26,062,807 ","$97,877,084 ","$123,939,891 "
12,2018,"$29,246,755 ","$105,497,699 ","$134,744,454 "
1,2019,"$25,680,596 ","$99,193,678 ","$124,874,274 "
2,2019,"$24,082,927 ","$95,324,933 ","$119,407,860 "
3,2019,"$28,097,865 ","$114,317,739 ","$142,415,604 "
4,2019,"$27,943,394 ","$107,938,775 ","$135,882,169 "
5,2019,"$29,446,360 ","$113,660,919 ","$143,107,279 "
6,2019,"$29,653,362 ","$122,372,729 ","$152,026,091 "
7,2019,"$30,389,970 ","$135,904,745 ","$166,294,715 "
8,2019,"$31,350,310 ","$141,869,549 ","$173,219,859 "
9,2019,"$28,601,353 ","$126,853,814 ","$155,455,167 "
10,2019,"$29,229,660 ","$121,246,599 ","$150,476,259 "
11,2019,"$26,697,731 ","$114,381,244 ","$141,078,975 "
12,2019,"$27,314,662 ","$116,437,714 ","$143,752,376 "
1,2020,"$27,471,535 ","$111,660,730 ","$139,132,265 "
2,2020,"$26,557,708 ","$112,068,640 ","$138,626,348 "
3,2020,"$32,929,194 ","$128,117,512 ","$161,046,706 "
4,2020,"$36,485,700 ","$112,010,018 ","$148,495,718 "
5,2020,"$42,989,322 ","$149,186,615 ","$192,175,937 "
6,2020,"$40,770,582 ","$158,102,628 ","$198,873,210 "
7,2020,"$43,268,565 ","$183,106,003 ","$226,374,568 "
8,2020,"$42,034,746 ","$176,566,595 ","$218,601,341 "
9,2020,"$39,941,149 ","$166,547,119 ","$206,488,268 "
10,2020,"$38,788,945 ","$160,999,919 ","$199,788,864 "
11,2020,"$34,650,013 ","$140,495,233 ","$175,145,246 "
12,2020,"$36,651,909 ","$149,691,299 ","$186,343,208 "
1,2021,"$35,869,373 ","$151,734,324 ","$187,603,697 "
2,2021,"$32,452,819 ","$134,584,956 ","$167,037,775 "
3,2021,"$40,372,910 ","$166,729,153 ","$207,102,063 "
4,2021,"$39,817,606 ","$166,506,561 ","$206,324,167 "
5,2021,"$36,781,683 ","$157,221,754 ","$194,003,437 "
6,2021,"$34,534,293 ","$152,719,813 ","$187,254,106 "
7,2021,"$35,010,274 ","$167,805,366 ","$202,815,640 "
8,2021,"$34,871,389 ","$157,994,708 ","$192,866,097 "
9,2021,"$30,349,138 ","$150,781,653 ","$181,130,791 "
10,2021,"$29,214,748 ","$147,137,979 ","$176,352,727 "
11,2021,"$26,821,676 ","$131,640,783 ","$158,462,459 "
12,2021,"$28,314,622 ","$139,726,972 ","$168,041,594 "
1,2022,"$21,135,544 ","$129,984,038 ","$151,119,582 "
2,2022,"$20,341,170 ","$124,925,581 ","$145,266,751 "
3,2022,"$22,898,925 ","$139,607,877","$162,506,802"